,EEM,EFA,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EWZ,EZU,IJR,IWM,IYR,OIH,QQQ,SMH,SPY,TLI,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLY
2019-02-25,43.19068908691406,62.95194625854492,20.973155975341797,26.38745880126953,25.51992416381836,54.49407196044922,33.939998626708984,31.670000076293945,43.87944793701172,64.69000244140625,43.36787796020508,37.21427536010742,80.1645736694336,156.66453552246094,82.54534149169922,17.440000534057617,172.47486877441406,105.12999725341797,275.67413330078125,9.093194961547852,55.28825759887695,64.17926025390625,26.16763687133789,75.34282684326172,70.2833480834961,53.11361312866211,55.3887939453125,109.62055206298828
2019-02-26,43.04182052612305,63.25540542602539,20.973155975341797,26.591861724853516,25.41191291809082,54.68235778808594,33.779998779296875,31.943016052246094,43.62461853027344,64.5,43.545616149902344,37.44802474975586,79.39253234863281,155.5850372314453,82.3203125,17.25,172.65377807617188,104.44999694824219,275.4768981933594,9.08374309539795,54.97311019897461,63.97465133666992,26.088848114013672,75.13603210449219,70.43186950683594,53.14305114746094,55.32038879394531,109.76903533935547
2019-02-27,42.67462158203125,63.000892639160156,20.884950637817383,26.445859909057617,25.402095794677734,54.39496994018555,33.619998931884766,31.904016494750977,43.212974548339844,64.3499984741211,43.604862213134766,37.30193328857422,79.51130676269531,155.8029327392578,82.08550262451172,17.34000015258789,172.54443359375,103.37999725341797,275.3585510253906,9.093194961547852,54.88447570800781,64.21823120117188,26.187334060668945,75.43144989013672,70.36255645751953,53.06455612182617,55.3887939453125,109.6898422241211
2019-02-28,42.118858337402344,62.91278839111328,20.85555076599121,26.5723934173584,25.392276763916016,53.8697509765625,33.20000076293945,31.757755279541016,42.69351577758789,62.970001220703125,42.45944595336914,37.51620101928711,79.2044677734375,155.26812744140625,82.3301010131836,17.100000381469727,172.1468505859375,103.33000183105469,274.8456726074219,9.093194961547852,54.21479415893555,63.57516860961914,26.118396759033203,75.1754150390625,70.16452026367188,53.319671630859375,55.711273193359375,109.09590911865234
2019-03-01,42.16848373413086,63.25540542602539,21.0025577545166,26.864398956298828,25.451190948486328,54.0283088684082,33.349998474121094,31.816261291503906,42.42888641357422,63.04999923706055,41.8176155090332,37.84733963012695,79.65977478027344,156.71405029296875,82.15399169921875,17.420000076293945,173.33961486816406,104.27999877929688,276.5617980957031,9.064839363098145,54.14585876464844,64.7443618774414,26.28582191467285,75.24434661865234,70.63980865478516,53.22154998779297,55.82854080200195,109.97691345214844
2019-03-04,42.22802734375,63.02046585083008,20.894750595092773,26.64052963256836,25.41191291809082,53.859840393066406,33.31999969482422,31.73825454711914,42.20346450805664,62.54999923706055,41.837364196777344,37.662288665771484,78.83824157714844,155.29783630371094,82.49642181396484,17.479999542236328,173.3694305419922,104.33000183105469,275.5557861328125,9.064839363098145,54.39206314086914,64.86128997802734,26.118396759033203,74.90953063964844,70.3724594116211,53.13323974609375,55.926265716552734,109.63045501708984
2019-03-05,42.64485168457031,63.07920455932617,20.963354110717773,26.708663940429688,25.41191291809082,53.909393310546875,33.47999954223633,31.91376495361328,42.007442474365234,62.400001525878906,42.15333938598633,37.63307189941406,78.5115966796875,154.57489013671875,82.75079345703125,17.329999923706055,173.4986572265625,103.83999633789062,275.1810302734375,9.064839363098145,54.136009216308594,64.64692687988281,26.019908905029297,74.42701721191406,70.16452026367188,53.093994140625,55.85786056518555,109.9076156616211
2019-03-06,42.40666580200195,62.92258071899414,20.982955932617188,26.58212661743164,25.33336067199707,53.59227752685547,33.40999984741211,31.952768325805664,41.50758361816406,62.130001068115234,40.978302001953125,37.55515670776367,76.96749877929688,151.54440307617188,82.34966278076172,16.780000686645508,172.51461791992188,102.08999633789062,273.5142822265625,9.055386543273926,54.254188537597656,63.828495025634766,25.85248374938965,73.72784423828125,69.79815673828125,53.0154914855957,55.85786056518555,109.39287567138672
2019-03-07,41.622642517089844,62.119895935058594,20.92415428161621,26.07598876953125,24.999509811401367,52.958045959472656,33.08000183105469,31.611495971679688,40.93912124633789,61.09000015258789,40.66232681274414,36.892879486083984,76.1657485961914,150.21730041503906,82.2029037475586,16.469999313354492,170.39743041992188,100.9800033569336,271.2261962890625,9.017577171325684,53.811012268066406,63.448509216308594,25.586570739746094,73.28469848632812,69.13472747802734,52.67206573486328,56.04352951049805,108.06641387939453
2019-03-08,41.324913024902344,62.12968826293945,20.835948944091797,26.173320770263672,24.80312728881836,52.868858337402344,32.90999984741211,31.484739303588867,41.1351432800293,60.689998626708984,41.14616394042969,36.990272521972656,76.0865707397461,150.1776885986328,82.28117370605469,16.06999969482422,170.13900756835938,100.94999694824219,270.6837463378906,9.008125305175781,53.8996467590332,62.259822845458984,25.576723098754883,73.1369857788086,69.12483215332031,52.701499938964844,56.238975524902344,107.31410217285156
2019-03-11,42.0990104675293,62.668067932128906,21.022159576416016,26.406925201416016,25.24498748779297,53.44363021850586,33.27000045776367,31.757755279541016,41.605594635009766,61.290000915527344,42.528564453125,37.28245162963867,77.30403137207031,152.8021240234375,83.4943618774414,16.530000686645508,173.67758178710938,103.0999984741211,274.6090087890625,9.045933723449707,54.66781234741211,63.234153747558594,25.842634201049805,73.75739288330078,70.61009979248047,53.38835906982422,56.63963317871094,108.78904724121094
2019-03-12,42.317344665527344,62.6289176940918,20.884950637817383,26.367992401123047,25.382457733154297,53.57246017456055,33.400001525878906,31.699251174926758,41.713409423828125,61.63999938964844,42.735923767089844,37.31167221069336,77.18525695800781,152.88137817382812,83.8367919921875,16.799999237060547,174.6317901611328,103.61000061035156,275.6445617675781,9.036481857299805,54.87462615966797,63.64337158203125,25.90172576904297,73.14684295654297,71.02598571777344,53.407981872558594,57.030521392822266,109.09590911865234
2019-03-13,42.366966247558594,63.167301177978516,20.99275779724121,26.591861724853516,25.362817764282227,53.78056335449219,33.560001373291016,32.138031005859375,41.82121658325195,61.2400016784668,43.200016021728516,37.64281463623047,77.4822006225586,153.4854736328125,84.21835327148438,17.06999969482422,175.94383239746094,104.02999877929688,277.4691162109375,9.027029991149902,55.140533447265625,64.28643035888672,26.078998565673828,73.78692626953125,71.49137115478516,53.71216583251953,57.08915328979492,109.48197174072266
2019-03-14,42.13870620727539,63.157508850097656,20.9339542388916,26.591861724853516,25.235170364379883,53.20579147338867,33.40999984741211,32.24528503417969,41.69380569458008,60.849998474121094,42.666805267333984,37.788902282714844,77.15555572509766,152.86155700683594,84.34554290771484,17.1200008392334,175.64564514160156,103.44999694824219,277.2915954589844,9.017577171325684,54.72690200805664,64.3546371459961,26.177486419677734,73.54074096679688,71.63990020751953,53.6630973815918,57.079383850097656,109.1552963256836
2019-03-15,42.7540168762207,63.84273147583008,21.022159576416016,26.844932556152344,25.372636795043945,53.82020568847656,33.91999816894531,32.58655548095703,42.30147171020508,62.0099983215332,43.140769958496094,38.24665451049805,77.17536163330078,153.26760864257812,84.14987182617188,16.989999771118164,177.27577209472656,106.22000122070312,278.66156005859375,9.045933723449707,54.7951545715332,64.32910919189453,26.360614776611328,73.28124237060547,72.50711822509766,53.96697235107422,57.28611755371094,109.85556030273438
2019-03-18,43.230384826660156,64.06787109375,21.090763092041016,26.864398956298828,25.578838348388672,53.968849182128906,34.18000030517578,32.76206970214844,43.01695251464844,62.189998626708984,43.84184646606445,38.40248489379883,77.77913665771484,154.24806213378906,83.68025207519531,17.530000686645508,177.69796752929688,105.93000030517578,279.67193603515625,9.008125305175781,54.923728942871094,65.22270202636719,26.627883911132812,73.99435424804688,72.81507873535156,54.0458984375,57.06953811645508,110.9183578491211
