,IBB,IYE,IYR,OIH,SMH,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2006-04-26,24.75853729248047,24.930173873901367,40.47373962402344,40.0628547668457,27.554834365844727,25.05191421508789,42.82236862182617,15.708707809448242,26.295536041259766,18.034664154052734,16.646394729614258,18.87030792236328,24.464397430419922,27.825157165527344
2006-04-27,25.282062530517578,24.71619987487793,40.87732696533203,39.22772216796875,28.054645538330078,24.55130958557129,42.33531951904297,15.955345153808594,26.15191078186035,18.214191436767578,16.667423248291016,19.121667861938477,24.329591751098633,28.047164916992188
2006-04-28,25.249549865722656,24.974002838134766,40.992645263671875,39.87051010131836,27.796253204345703,24.661741256713867,42.814884185791016,16.107118606567383,26.099016189575195,17.83065414428711,16.709505081176758,19.20136833190918,24.57541847229004,28.030710220336914
2006-05-01,24.927631378173828,25.322053909301758,40.358455657958984,40.83476257324219,27.43447494506836,24.823705673217773,43.51923370361328,15.855734825134277,26.167036056518555,17.683759689331055,16.702489852905273,19.023576736450195,24.36130714416504,27.874488830566406
2006-05-02,24.74553680419922,25.948522567749023,40.03557205200195,42.18734359741211,27.508310317993164,25.066635131835938,44.48582077026367,15.955345153808594,26.378671646118164,17.765365600585938,16.8006534576416,19.33011245727539,24.36130714416504,27.89916229248047
2006-05-03,24.73578453063965,25.579853057861328,40.075927734375,41.458404541015625,27.715200424194336,25.07400131225586,43.79646682739258,15.94111156463623,26.386228561401367,17.724557876586914,16.688461303710938,19.268808364868164,24.091684341430664,27.973167419433594
2006-05-04,24.85283851623535,25.430334091186523,40.554466247558594,41.58017349243164,27.89253044128418,25.324295043945312,43.594154357910156,15.97431468963623,26.703685760498047,17.789852142333984,16.716510772705078,19.29332160949707,24.17098617553711,28.129392623901367
2006-05-05,25.360107421875,25.69844627380371,41.28092575073242,41.802947998046875,28.121610641479492,25.50098419189453,44.103668212890625,16.201976776123047,26.968223571777344,17.887775421142578,16.870769500732422,19.728614807128906,24.408889770507812,28.45829963684082
2006-05-08,25.243045806884766,25.587587356567383,41.41352844238281,41.770050048828125,28.09939193725586,25.5966796875,43.90886306762695,16.135568618774414,26.945539474487305,17.912254333496094,16.961933135986328,19.575342178344727,24.400959014892578,28.499401092529297
2006-05-09,25.103227615356445,25.78611183166504,41.425048828125,42.09916305541992,27.826030731201172,25.76599884033203,44.171119689941406,16.164033889770508,26.945539474487305,17.838809967041016,17.01101303100586,19.40981101989746,24.22649383544922,28.581628799438477
2006-05-10,24.804065704345703,25.97945785522461,41.459651947021484,42.39228439331055,27.19059181213379,25.773366928100586,44.58323669433594,16.173519134521484,26.960674285888672,17.6511173248291,16.94089698791504,19.563077926635742,24.202709197998047,28.59807777404785
2006-05-11,24.384592056274414,25.672664642333984,40.554466247558594,41.49861145019531,26.75453758239746,25.419992446899414,44.00625991821289,15.907909393310547,26.824609756469727,17.283903121948242,16.730533599853516,19.3791561126709,24.15512466430664,28.310283660888672
2006-05-12,24.231760025024414,24.904403686523438,39.943321228027344,39.87838363647461,26.56239128112793,24.875234603881836,42.51517105102539,15.746652603149414,26.401344299316406,17.120685577392578,16.597309112548828,19.164579391479492,24.099613189697266,28.030710220336914
2006-05-15,24.186233520507812,24.396514892578125,40.47373962402344,38.810028076171875,26.38499641418457,24.55130958557129,41.62349319458008,15.855734825134277,26.408906936645508,17.137004852294922,16.779611587524414,19.28719711303711,24.44060516357422,28.1047306060791
2006-05-16,24.039913177490234,24.440343856811523,40.39303970336914,38.610023498535156,26.372425079345703,24.558679580688477,41.77336120605469,15.836766242980957,26.401344299316406,16.973796844482422,16.84272003173828,19.20136833190918,24.504051208496094,27.907386779785156
2006-05-17,23.604177474975586,23.84221649169922,39.55126953125,37.72140884399414,25.88446807861328,23.896120071411133,40.70936965942383,15.518988609313965,25.85714340209961,16.74530792236328,16.63236427307129,18.90709686279297,24.250288009643555,27.52092742919922
2006-05-18,23.243242263793945,23.519962310791016,39.44173049926758,36.68852615356445,25.647876739501953,23.645828247070312,40.214820861816406,15.381443977355957,25.645509719848633,16.68817901611328,16.548221588134766,18.90096664428711,24.14719581604004,27.504484176635742
2006-05-19,23.428590774536133,23.641128540039062,39.36100769042969,36.916385650634766,26.010175704956055,23.74152374267578,40.477073669433594,15.462071418762207,25.728652954101562,16.810583114624023,16.562244415283203,19.060365676879883,24.012380599975586,27.693593978881836
