,DBA,DBB,DBC,DBE,DBO,DGL,GLD,GSG,IAU,SLV,UNG,USO
2010-08-06,25.40809440612793,20.459903717041016,22.991371154785156,24.12666130065918,25.206266403198242,42.12507629394531,117.83999633789062,30.030000686645508,11.800000190734863,18.06999969482422,242.24000549316406,36.20000076293945
2010-08-09,25.5762939453125,20.459903717041016,23.070344924926758,24.1856746673584,25.45232582092285,42.02665710449219,117.4000015258789,30.049999237060547,11.75,17.959999084472656,233.60000610351562,36.529998779296875
2010-08-10,25.447669982910156,20.17437171936035,22.823549270629883,23.870935440063477,25.04878807067871,42.13492202758789,117.7300033569336,29.700000762939453,11.789999961853027,17.969999313354492,232.32000732421875,35.869998931884766
2010-08-11,25.22010612487793,19.711610794067383,22.310216903686523,23.202116012573242,24.33029556274414,41.96760177612305,117.33999633789062,29.0,11.75,17.530000686645508,232.9600067138672,34.7400016784668
2010-08-12,25.675235748291016,19.819915771484375,22.142396926879883,22.621816635131836,23.641332626342773,42.44987869262695,118.7699966430664,28.75,11.890000343322754,17.690000534057617,231.36000061035156,33.91999816894531
2010-08-13,25.695022583007812,19.622997283935547,22.122652053833008,22.582473754882812,23.641332626342773,42.47940444946289,118.73999786376953,28.469999313354492,11.890000343322754,17.739999771118164,233.27999877929688,33.790000915527344
2010-08-16,25.665342330932617,19.760841369628906,22.053550720214844,22.395599365234375,23.582277297973633,42.78451156616211,119.7300033569336,28.3700008392334,11.970000267028809,18.0,227.83999633789062,33.61000061035156
2010-08-17,25.80385971069336,20.154678344726562,22.369447708129883,22.8283634185791,23.946443557739258,42.81404113769531,119.75,28.739999771118164,11.979999542236328,18.1200008392334,229.75999450683594,33.869998931884766
2010-08-18,25.80385971069336,20.125141143798828,22.280601501464844,22.720172882080078,23.81849479675293,42.96167755126953,120.22000122070312,28.690000534057617,12.029999732971191,18.020000457763672,228.16000366210938,33.68000030517578
2010-08-19,25.892906188964844,19.83960723876953,22.053550720214844,22.425106048583984,23.464168548583984,43.05025863647461,120.38999938964844,28.389999389648438,12.039999961853027,17.920000076293945,225.27999877929688,33.25
2010-08-20,25.94237518310547,19.524538040161133,21.915346145629883,22.149709701538086,23.296850204467773,42.922306060791016,119.97000122070312,28.260000228881836,12.010000228881836,17.59000015258789,222.39999389648438,32.95000076293945
2010-08-23,26.10068130493164,19.416231155395508,21.767269134521484,21.874313354492188,22.98189353942871,42.823883056640625,119.77999877929688,27.93000030517578,11.989999771118164,17.610000610351562,219.52000427246094,32.43000030517578
2010-08-24,25.58618927001953,19.051931381225586,21.52047348022461,21.579246520996094,22.676782608032227,42.9911994934082,120.36000061035156,27.43000030517578,12.050000190734863,17.989999771118164,217.9199981689453,31.770000457763672
2010-08-25,25.358623504638672,18.992856979370117,21.629064559936523,21.825136184692383,23.050790786743164,43.365211486816406,121.36000061035156,27.799999237060547,12.140000343322754,18.540000915527344,209.9199981689453,32.369998931884766
2010-08-26,25.59608268737793,19.386693954467773,21.875858306884766,22.13003921508789,23.414958953857422,43.23725891113281,120.95999908447266,27.940000534057617,12.100000381469727,18.59000015258789,206.39999389648438,32.619998931884766
2010-08-27,25.833541870117188,19.85930061340332,22.250986099243164,22.57263946533203,24.054710388183594,43.27663040161133,121.01000213623047,28.649999618530273,12.119999885559082,18.700000762939453,199.67999267578125,33.56999969482422
2010-08-30,25.892906188964844,19.888839721679688,22.211498260498047,22.44477653503418,23.85786247253418,43.247100830078125,120.91000366210938,28.239999771118164,12.100000381469727,18.6299991607666,204.8000030517578,33.02000045776367
2010-08-31,25.704917907714844,19.701765060424805,21.915346145629883,21.952999114990234,23.375587463378906,43.650634765625,122.08000183105469,27.780000686645508,12.220000267028809,18.93000030517578,204.16000366210938,31.920000076293945
