,EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWS,EWT,EWU,EWW,EWY,EWZ,EZA
2010-04-21,15.64830207824707,23.403064727783203,17.74672508239746,12.138490676879883,27.433195114135742,36.12160873413086,18.385391235351562,24.955989837646484,27.482383728027344,16.874313354492188,20.187700271606445,22.850299835205078,45.86773681640625,45.877716064453125,55.8565788269043,45.25749969482422
2010-04-22,15.539941787719727,23.46860122680664,17.586193084716797,12.10866641998291,26.939315795898438,35.8114128112793,18.15357780456543,25.081497192382812,26.971176147460938,16.958267211914062,20.29853630065918,22.644811630249023,46.061767578125,45.97410583496094,56.23921585083008,44.90392303466797
2010-04-23,15.48257827758789,23.56689453125,17.778827667236328,12.086298942565918,27.10393714904785,36.05267333984375,18.273483276367188,25.311607360839844,27.204132080078125,17.12616729736328,20.441038131713867,22.891395568847656,46.57637405395508,46.21067428588867,56.346343994140625,45.29512023925781
2010-04-26,15.45070743560791,23.632431030273438,17.86712074279785,12.101207733154297,26.804615020751953,36.293949127197266,18.2015438079834,25.207015991210938,26.93881607055664,17.12616729736328,20.710208892822266,22.905092239379883,46.601680755615234,46.35086441040039,56.246864318847656,45.7540168762207
2010-04-27,14.883413314819336,22.968917846679688,17.09657096862793,11.780598640441895,25.293020248413086,35.639068603515625,17.530071258544922,24.809558868408203,25.295175552368164,16.73438835144043,20.266868591308594,21.97355079650879,44.096126556396484,44.712371826171875,53.6067008972168,44.00870895385742
2010-04-28,15.138378143310547,23.026262283325195,17.01630401611328,11.84024715423584,25.00865936279297,35.50119400024414,17.38618278503418,24.93506622314453,24.809852600097656,16.776369094848633,20.377700805664062,22.000944137573242,44.70353317260742,45.32571029663086,54.341365814208984,44.565399169921875
2010-04-29,15.272232055664062,23.44402503967285,17.233022689819336,11.892436981201172,25.4576473236084,35.91481399536133,17.713926315307617,25.29068946838379,25.631671905517578,17.04221534729004,20.52020835876465,22.274934768676758,45.319374084472656,45.91277313232422,56.01729202270508,45.129608154296875
2010-04-30,14.94078540802002,23.12455940246582,17.16880989074707,11.676213264465332,25.08348846435547,35.8114128112793,17.522079467773438,25.12333869934082,25.638145446777344,16.804351806640625,20.124366760253906,21.809162139892578,44.70353317260742,45.43085479736328,55.29793930053711,44.94906997680664
2010-05-03,15.125629425048828,23.312963485717773,17.257102966308594,11.750775337219238,25.36785125732422,35.91481399536133,17.506092071533203,25.29068946838379,25.683435440063477,16.916290283203125,20.314369201660156,21.74066162109375,45.16752624511719,45.33448028564453,54.945919036865234,45.58098602294922
2010-05-04,14.335247039794922,22.63306999206543,16.526683807373047,11.385425567626953,23.856258392333984,34.81185531616211,16.92255401611328,24.76772117614746,23.832733154296875,16.230682373046875,19.491025924682617,21.30228614807129,43.23563766479492,43.485694885253906,52.01496124267578,43.47458267211914
